what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1560104492234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1560104492565
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1560104492856
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1560104493308
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1560104493957
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1560104494377
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1560104494847
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1560104495266
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1560104495548
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1560104496074
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560104500124
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560104502690
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560104503087
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560104675515
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1560104678212
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1560104681280
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560104804300
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560106158026
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560106160785
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560106163335
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560106163384
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560106165925
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1560106166853
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1560106167594
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1560106167683
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1560145574502
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1560145574503
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1560145574504
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1560145574505
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1560145574506
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1560145574506
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1560145574507
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1560145574507
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1560145574508
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1560145574509
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1560145574509
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1560145574510
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1560145574510
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1560145574511
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1560145574511
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1560145574512
